Appliance,Minimum_kW,Summer_kWh,Winter_kWh,Rainy_kWh,Standby_kWh
100W light bulb (Incandescent),0.013333333,0.013333333,0.013333333,0.013333333,0
22 Inch LED TV,0.002266667,0.002266667,0.002266667,0.002266667,0.000333333
"25"" colour TV",0.02,0.02,0.02,0.02,0
"3"" belt sander",0.133333333,0.133333333,0.133333333,0.133333333,0
32 Inch LED TV,0.002666667,0.002666667,0.002666667,0.002666667,0.000666667
42 Inch LED TV,0.007733333,0.007733333,0.007733333,0.007733333,0.0002
42 Inch Plasma TV,0.06,0.06,0.06,0.06,0
46 Inch LED TV,0.008,0.008,0.008,0.008,0.000666667
49 Inch LED TV,0.011333333,0.011333333,0.011333333,0.011333333,0.000666667
55 Inch LED TV,0.015466667,0.015466667,0.015466667,0.015466667,0.000333333
60W light bulb (Incandescent),0.008,0.008,0.008,0.008,0
65 Inch LED TV,0.016,0.016,0.016,0.016,0.000666667
82 Inch LED TV,0.0304,0.0304,0.0304,0.0304,0.000333333
"9"" disc sander",0.16,0.16,0.16,0.16,0
Air Cooler,0.008666667,0.008666667,0.008666667,0.008666667,0
Air Fryer,0.2,0.2,0.2,0.2,0
Air Purifier,0.003333333,0.003333333,0.003333333,0.003333333,0
Amazon Echo,0.0004,0.0004,0.0004,0.0004,0.001333333
Amazon Echo Dot,0.000266667,0.000266667,0.000266667,0.000266667,0
Amazon Echo Show,0.000266667,0.000266667,0.000266667,0.000266667,6.67E-05
American-Style Fridge Freezer,0.005333333,0.005333333,0.005333333,0.005333333,0
Apple TV,0.0004,0.0004,0.0004,0.0004,0.0002
Aquarium Pump,0.002666667,0.002666667,0.002666667,0.002666667,0
AV Receiver,0.06,0.06,0.06,0.06,0
Bathroom Towel Heater,0.008,0.008,0.008,0.008,0
Ceiling Fan,0.008,0.0112,0.008,0.008,0
Chromebook,0.006,0.006,0.006,0.006,0
Chromecast,0.000266667,0.000266667,0.000266667,0.000266667,0
Clock radio,0.000133333,0.000133333,0.000133333,0.000133333,0
Clothes Dryer,0.133333333,0.133333333,0.133333333,0.133333333,0
Coffee Maker,0.106666667,0.106666667,0.106666667,0.106666667,0
Computer Monitor,0.003333333,0.003333333,0.003333333,0.003333333,0
Cooker Hood,0.002666667,0.002666667,0.002666667,0.002666667,0
Corded Drill,0.08,0.08,0.08,0.08,0
Corded Electric Handheld Leaf Blower,0.333333333,0.333333333,0.333333333,0.333333333,0
Cordless Drill Charger,0.009333333,0.009333333,0.009333333,0.009333333,0
Cpap machine,0.004,0.004,0.004,0.004,0
Curling Iron,0.003333333,0.003333333,0.003333333,0.003333333,0
DAB Mains Radio,0.000666667,0.000666667,0.000666667,0.000666667,0
Deep Freezer,0.002533333,0.002533333,0.002533333,0.002533333,0
Dehumidifier,0.032,0.0416,0.0352,0.048,0
Desk Lamp,0.005333333,0.005333333,0.005333333,0.005333333,0
Desktop Computer,0.013333333,0.013333333,0.013333333,0.013333333,0
Dishwasher,0.16,0.192,0.16,0.176,0
Domestic Water Pump,0.026666667,0.026666667,0.026666667,0.026666667,0
DVD Player,0.003466667,0.003466667,0.003466667,0.003466667,0
Electric Blanket,0.026666667,0.026666667,0.026666667,0.026666667,0
Electric Boiler,0.533333333,0.533333333,0.533333333,0.533333333,0
Electric Doorbell Transformer,0.000266667,0.000266667,0.000266667,0.000266667,0
Electric Heater Fan,0.266666667,0.266666667,0.266666667,0.266666667,0
Electric Kettle,0.16,0.192,0.16,0.192,0
Electric Mower,0.2,0.2,0.2,0.2,0
Electric Pressure Cooker,0.133333333,0.133333333,0.133333333,0.133333333,0
Electric Shaver,0.002,0.002,0.002,0.002,0
Electric stove,0.266666667,0.266666667,0.266666667,0.266666667,0
Electric Tankless Water Heater,0.88,0.88,0.88,0.88,0
Electric Thermal Radiator,0.066666667,0.066666667,0.066666667,0.066666667,0
Electric Toothbrush Charger,0.0008,0.0008,0.0008,0.0008,0
Espresso Coffee Machine,0.173333333,0.173333333,0.173333333,0.173333333,0
EV Car Charger,0.266666667,0.266666667,0.266666667,0.266666667,0
EV Home Charger,0.213333333,0.213333333,0.213333333,0.213333333,0
Evaporative Air Conditioner,0.346666667,0.346666667,0.346666667,0.346666667,0
External Hard Drive,0.000133333,0.000133333,0.000133333,0.000133333,0
Extractor Fan,0.0016,0.0016,0.0016,0.0016,0
Fluorescent Lamp,0.003733333,0.003733333,0.003733333,0.003733333,0
Food Blender,0.04,0.04,0.04,0.04,0
Food Dehydrator,0.106666667,0.106666667,0.106666667,0.106666667,0
Freezer,0.004,0.004,0.004,0.004,0
Fridge,0.013333333,0.013333333,0.013333333,0.013333333,0
Fridge / Freezer,0.02,0.02,0.02,0.02,0
